time periods,acceptance ratio,revenue cost ratio,node utilization,total utilization,link utilization,profitability
0,1.0,0.7781128823782852,0.061875,0.08348920863309353,0.08995327102803738,0.7781128823782852
50,1.0,0.7293480819016239,0.113125,0.15284172661870504,0.1647196261682243,0.7293480819016239
100,1.0,0.7264662395268605,0.1565625,0.2189568345323741,0.23761682242990653,0.7264662395268605
150,1.0,0.6904902539870054,0.20625,0.30449640287769786,0.3338785046728972,0.6904902539870054
200,1.0,0.6566085847853803,0.271875,0.42320143884892086,0.46845794392523366,0.6566085847853803
250,1.0,0.6576410547207259,0.311875,0.4730575539568345,0.5212616822429906,0.6576410547207259
300,1.0,0.6484399327396151,0.3515625,0.5431654676258992,0.6004672897196262,0.6484399327396151
350,1.0,0.6444137931034483,0.389375,0.6061870503597122,0.6710280373831776,0.6444137931034483
400,1.0,0.6100614614158889,0.410625,0.6540647482014389,0.7268691588785047,0.6100614614158889
450,0.975609756097561,0.6127059243716237,0.43,0.6696762589928058,0.7413551401869158,0.5977618774357305
500,0.9333333333333333,0.6150121065375302,0.4359375,0.6733812949640288,0.744392523364486,0.5740112994350283
550,0.92,0.6081037538263251,0.4465625,0.714136690647482,0.7941588785046729,0.5594554535202191
600,0.8888888888888888,0.6093656909083688,0.45625,0.7235611510791367,0.8035046728971963,0.54165839191855
650,0.8793103448275862,0.5902839792820146,0.40125,0.6885971223021583,0.7745327102803738,0.519042809368668
700,0.8852459016393442,0.5842443516862121,0.383125,0.6678776978417266,0.7530373831775701,0.517199917886155
750,0.8636363636363636,0.5797696070695912,0.3940625,0.6790287769784172,0.7642523364485981,0.5007101151964651
800,0.8571428571428571,0.5807443957115009,0.376875,0.6648201438848921,0.7509345794392523,0.4977809106098579
850,0.8378378378378378,0.5792937827981856,0.3690625,0.6572661870503597,0.7434579439252337,0.48535425045253383
900,0.8441558441558441,0.5771186440677966,0.3728125,0.647158273381295,0.7292056074766355,0.48717807616112696
950,0.8292682926829268,0.5798622681328446,0.3903125,0.6553237410071943,0.7345794392523365,0.4808613930857735
1000,0.8045977011494253,0.5780699376524804,0.40125,0.6749280575539568,0.7567757009345795,0.46511374293877733
1050,0.8131868131868132,0.5785637220073157,0.4103125,0.632410071942446,0.6988317757009346,0.4704803893246303
1100,0.8210526315789474,0.5734534850368104,0.38875,0.6276258992805755,0.6990654205607477,0.4708354929775917
1150,0.82,0.5723152891227099,0.380625,0.6439208633093525,0.7226635514018691,0.4692985370806221
1200,0.8095238095238095,0.5708475321534572,0.3890625,0.6710431654676259,0.7553738317757009,0.462114668886132
1250,0.8165137614678899,0.5742525167604389,0.4125,0.6638489208633094,0.7390186915887851,0.4688850824924684
1300,0.8230088495575221,0.578021283321041,0.389375,0.6097841726618705,0.6757009345794392,0.47571663140581244
1350,0.8290598290598291,0.5671694348259875,0.418125,0.713705035971223,0.8021028037383178,0.47021739468479307
1400,0.8181818181818182,0.5655770821709603,0.3978125,0.6863669064748201,0.7726635514018692,0.4627448854126039
1450,0.8174603174603174,0.5697229105654427,0.4009375,0.6568705035971223,0.733411214953271,0.4657258713352428
1500,0.8153846153846154,0.5687558975103433,0.4128125,0.6552877697841727,0.727803738317757,0.463754808739203
1550,0.7985074626865671,0.5685984411085451,0.3940625,0.648453237410072,0.7245327102803738,0.4540300984971218
1600,0.8029197080291971,0.565883733557529,0.4046875,0.6507194244604316,0.7242990654205608,0.4543592021264831
1650,0.7887323943661971,0.5614348402898255,0.3940625,0.6759712230215827,0.7602803738317757,0.44282184586239753
1700,0.7724137931034483,0.5614348402898255,0.3809375,0.6576618705035971,0.7404205607476636,0.4336600145686928
1750,0.78,0.5636294053046691,0.3934375,0.6842805755395683,0.7712616822429906,0.4396309361376419
1800,0.7677419354838709,0.5637843169488739,0.3978125,0.6872661870503597,0.7738317757009345,0.43284086268978056
1850,0.7735849056603774,0.5635682658583422,0.3746875,0.6238489208633093,0.6983644859813084,0.4359679037772081
1900,0.7804878048780488,0.5657156828288076,0.3825,0.595431654676259,0.6591121495327102,0.44153419147614253
