acceptance ratio,link utilization,node utilization,profitability,revenue cost ratio,time periods,total utilization
1.0,0.09065420560747664,0.061875,0.7731164383561644,0.7731164383561644,0,0.08402877697841726
1.0,0.15257009345794392,0.113125,0.7768864377036852,0.7768864377036852,50,0.14348920863309353
1.0,0.22546728971962618,0.1565625,0.7588810708769521,0.7588810708769521,100,0.2096043165467626
1.0,0.3044392523364486,0.20625,0.746011486917677,0.746011486917677,150,0.2818345323741007
0.95,0.3492990654205608,0.25,0.7139393939393939,0.7515151515151515,200,0.32643884892086333
0.9166666666666666,0.37383177570093457,0.26875,0.6782298938510088,0.7398871569283734,250,0.3496402877697842
0.8928571428571429,0.4007009345794392,0.29375,0.6583146124783009,0.7373123659756969,300,0.37607913669064746
0.90625,0.4677570093457944,0.3315625,0.6565829528158295,0.7245053272450532,350,0.43640287769784175
0.8648648648648649,0.4864485981308411,0.348125,0.6293258995484358,0.7276580713528789,400,0.4546043165467626
0.8536585365853658,0.4978971962616822,0.3675,0.6244332341423111,0.7314789314238502,450,0.4678776978417266
0.8222222222222222,0.5011682242990654,0.3734375,0.6038888888888888,0.7344594594594595,500,0.47176258992805753
0.8,0.5200934579439253,0.37875,0.5829705900487083,0.7287132375608854,550,0.4875539568345324
0.7962962962962963,0.5399532710280374,0.4003125,0.5803347363013022,0.7287924595411702,600,0.5078057553956834
0.7931034482758621,0.48387850467289717,0.37625,0.5776969157915168,0.7284004590414777,650,0.45910071942446046
0.8032786885245902,0.44929906542056075,0.358125,0.5859734408838132,0.729477140692094,700,0.42830935251798563
0.803030303030303,0.46869158878504674,0.3915625,0.5866158210482257,0.7305027205506208,750,0.45093525179856114
0.8,0.45957943925233646,0.374375,0.5819955654101996,0.7274944567627495,800,0.43996402877697843
0.7837837837837838,0.4336448598130841,0.3665625,0.5718450163807245,0.7295953657271312,850,0.41820143884892086
0.7922077922077922,0.45841121495327103,0.378125,0.5794240337524411,0.7314041081793109,900,0.4399280575539568
0.7804878048780488,0.4633177570093458,0.395625,0.5722530303773863,0.7331991951710262,950,0.44773381294964026
0.7586206896551724,0.47102803738317756,0.40875,0.5586760103174397,0.736436559054807,1000,0.4566906474820144
0.7692307692307693,0.4761682242990654,0.4325,0.5700040465620468,0.7410052605306608,1050,0.46611510791366906
0.7684210526315789,0.4425233644859813,0.406875,0.5672227795876498,0.7381666309702292,1100,0.4343165467625899
0.77,0.4224299065420561,0.38125,0.5699156219864995,0.7401501584240253,1150,0.41294964028776976
0.7714285714285715,0.43154205607476637,0.3825,0.5685835002332026,0.7370526854874848,1200,0.4202517985611511
0.7798165137614679,0.45981308411214955,0.420625,0.5759381506547179,0.7385559814278146,1250,0.4507913669064748
0.7876106194690266,0.4002336448598131,0.375,0.5838072541624416,0.7412384238242237,1300,0.3944244604316547
0.7777777777777778,0.43037383177570093,0.3828125,0.5759040581911931,0.7404480748172482,1350,0.41942446043165466
0.7768595041322314,0.4264018691588785,0.3590625,0.5755675196969895,0.7408901051418695,1400,0.4108992805755396
0.7857142857142857,0.44719626168224297,0.378125,0.5814580253093822,0.7400374867573954,1450,0.431294964028777
0.7769230769230769,0.425,0.3721875,0.5764214091776662,0.7419285464663029,1500,0.41284172661870505
0.7686567164179104,0.44322429906542055,0.37125,0.569400007365911,0.7407728251168163,1550,0.4266546762589928
0.7737226277372263,0.4427570093457944,0.381875,0.572390601217302,0.7397878525167015,1600,0.4287410071942446
0.7535211267605634,0.41869158878504675,0.3553125,0.558212707107217,0.7408056486843442,1650,0.4041007194244604
0.7517241379310344,0.43457943925233644,0.3590625,0.555411038424135,0.738849546527519,1700,0.41719424460431653
0.76,0.4572429906542056,0.3715625,0.5625496504511478,0.7401969084883524,1750,0.4375179856115108
0.7548387096774194,0.47523364485981306,0.3878125,0.5597522320189074,0.7415521022472705,1800,0.4551079136690647
0.7547169811320755,0.46892523364485983,0.38875,0.5601511626743403,0.7422002905435008,1850,0.4504676258992806
0.75,0.44953271028037384,0.38625,0.5583997897767521,0.7445330530356694,1900,0.43496402877697843
0.7396449704142012,0.4422897196261682,0.3740625,0.5513082865737657,0.7453688034477313,1950,0.42658273381294964
0.7441860465116279,0.461214953271028,0.388125,0.5560936172319064,0.7472507981553742,2000,0.4443884892086331
0.7457627118644068,0.4602803738317757,0.4190625,0.5590306444563159,0.7496092732482418,2050,0.4507913669064748
0.7444444444444445,0.42827102803738315,0.4034375,0.5583452831938589,0.7500160520514522,2100,0.4225539568345324
0.7405405405405405,0.41051401869158877,0.3921875,0.5550470391280019,0.7495160747348931,2150,0.40629496402877696
0.7340425531914894,0.37990654205607477,0.364375,0.550336564488616,0.7497338704627523,2200,0.37633093525179856
0.7382198952879581,0.3689252336448598,0.3753125,0.5535599157911938,0.7498577582703405,2250,0.3703956834532374
0.7397959183673469,0.44018691588785047,0.4121875,0.5520172993088698,0.7461751080312998,2300,0.4337410071942446
0.7437185929648241,0.444392523364486,0.420625,0.5555710321329462,0.7470178067192993,2350,0.43892086330935254
0.7475247524752475,0.4651869158878505,0.4221875,0.5567628343194458,0.7448085598180666,2400,0.4552877697841727
0.7536231884057971,0.5352803738317757,0.4659375,0.5599309284152968,0.7429852703972207,2450,0.51931654676259
0.7582938388625592,0.5289719626168224,0.461875,0.5633153288960681,0.7428720899816897,2500,0.5135251798561151
0.7592592592592593,0.5523364485981308,0.4665625,0.5620741847938914,0.74029282875293,2550,0.532589928057554
0.7579908675799086,0.572429906542056,0.470625,0.5598464465997481,0.7385926012370172,2600,0.5489928057553957
