time periods,acceptance ratio,revenue cost ratio,node utilization,total utilization,link utilization,profitability
0,1.0,0.6552975326560232,0.061875,0.09913669064748201,0.1102803738317757,0.6552975326560232
50,1.0,0.6782665791201575,0.113125,0.1643525179856115,0.17967289719626167,0.6782665791201575
100,1.0,0.6785330673622832,0.1565625,0.23442446043165469,0.25771028037383176,0.6785330673622832
150,1.0,0.6549019607843137,0.20625,0.3210431654676259,0.3553738317757009,0.6549019607843137
200,1.0,0.6464435146443515,0.271875,0.42985611510791366,0.47710280373831776,0.6464435146443515
250,1.0,0.6276127984847459,0.311875,0.503273381294964,0.5605140186915888,0.6276127984847459
300,1.0,0.6106028618343889,0.3515625,0.5848920863309353,0.6546728971962616,0.6106028618343889
350,0.96875,0.6070188761119548,0.3746875,0.6227697841726618,0.6969626168224299,0.5880495362334562
400,0.9459459459459459,0.6027283395266967,0.38125,0.612410071942446,0.6815420560747664,0.5701484292820104
450,0.926829268292683,0.6070246149417015,0.400625,0.6264028776978418,0.6939252336448598,0.5626081797020648
500,0.9111111111111111,0.5974472263132057,0.420625,0.6763309352517985,0.752803738317757,0.5443408061964763
550,0.86,0.589939281497723,0.415,0.6842086330935252,0.7647196261682243,0.5073477820880418
600,0.8518518518518519,0.5900636319138521,0.4365625,0.709136690647482,0.7906542056074767,0.5026467975562444
650,0.8448275862068966,0.5570228518544885,0.39625,0.7187410071942446,0.8151869158878504,0.47058827139430925
700,0.8360655737704918,0.5484603566895999,0.364375,0.6862230215827338,0.7824766355140187,0.45854882280605896
750,0.803030303030303,0.5387042289429236,0.3640625,0.6877697841726619,0.7845794392523364,0.43259582021174164
800,0.8,0.5303742542035799,0.346875,0.6987410071942446,0.8039719626168225,0.4242994033628639
850,0.7702702702702703,0.5276671093404162,0.3409375,0.6982733812949641,0.8051401869158878,0.4064462869243746
900,0.7792207792207793,0.5276309871823701,0.3584375,0.6897122302158274,0.788785046728972,0.4111410289732754
950,0.7682926829268293,0.5300995505060254,0.3759375,0.7020143884892086,0.7995327102803739,0.4072716058765805
1000,0.735632183908046,0.530225185832969,0.376875,0.6986330935251799,0.7948598130841121,0.3900507114173565
1050,0.7472527472527473,0.5268229918861435,0.400625,0.7323381294964029,0.8315420560747664,0.39366992800283246
1100,0.7368421052631579,0.524907286759547,0.356875,0.661294964028777,0.7523364485981309,0.3867737902438767
1150,0.73,0.5279897276341458,0.3365625,0.6371942446043165,0.7271028037383177,0.3854325011729264
1200,0.7428571428571429,0.5284300627250289,0.36125,0.667158273381295,0.7586448598130842,0.3925480465957358
1250,0.7431192660550459,0.5314074571716493,0.3596875,0.5867625899280575,0.6546728971962616,0.39489911954957424
1300,0.7522123893805309,0.5356152115506433,0.3365625,0.5165107913669065,0.5703271028037383,0.4028963980690679
1350,0.7606837606837606,0.5357172198488334,0.3653125,0.5943525179856115,0.6628504672897196,0.4075113894576595
1400,0.768595041322314,0.5356329064194233,0.3759375,0.6460791366906475,0.7268691588785047,0.4116847958430278
1450,0.7777777777777778,0.5319746493967221,0.395,0.6752877697841727,0.7591121495327103,0.41375806064189496
1500,0.7692307692307693,0.5330273216049157,0.3890625,0.6181654676258993,0.6866822429906542,0.41002101661916596
1550,0.7611940298507462,0.5285169087246899,0.384375,0.6658273381294963,0.75,0.40230391559640577
1600,0.7591240875912408,0.5295477633376537,0.384375,0.6345323741007194,0.7093457943925233,0.40199246267967875
1650,0.7535211267605634,0.528750358220529,0.38875,0.6715107913669065,0.7560747663551401,0.3984245657013845
1700,0.7448275862068966,0.5288163948138854,0.3840625,0.6657553956834532,0.75,0.3938770388958595
1750,0.7533333333333333,0.5301531328566298,0.3965625,0.6923741007194245,0.7808411214953271,0.3993820267519944
1800,0.7548387096774194,0.5295084533500313,0.401875,0.6765107913669065,0.7586448598130842,0.3996934776900236
1850,0.7610062893081762,0.526133241242624,0.389375,0.6865827338129497,0.7754672897196262,0.4003907055997327
1900,0.7560975609756098,0.5269677457730456,0.3978125,0.6926618705035972,0.7808411214953271,0.39843902729181496
1950,0.7455621301775148,0.5275474804492268,0.385625,0.670431654676259,0.755607476635514,0.39331942329350644
2000,0.75,0.5271293238937033,0.3865625,0.6675899280575539,0.7516355140186916,0.3953469929202774
2050,0.751412429378531,0.5289465493336352,0.4175,0.6768705035971223,0.7544392523364486,0.3974570116461778
2100,0.7388888888888889,0.5289465493336352,0.4071875,0.6682014388489209,0.7462616822429906,0.39083272811874153
2150,0.7351351351351352,0.5250670461386897,0.40875,0.693021582733813,0.7780373831775701,0.3859952339181719
2200,0.7340425531914894,0.5239240523242608,0.361875,0.6316906474820144,0.7123831775700935,0.38458254904653183
2250,0.7382198952879581,0.5259342614885376,0.3728125,0.5955395683453237,0.6621495327102803,0.3882551354444178
2300,0.7397959183673469,0.520643894385311,0.4096875,0.7015107913669065,0.788785046728972,0.38517022798913314
2350,0.7437185929648241,0.5222941766446676,0.418125,0.6939208633093525,0.7764018691588785,0.3884398901678935
2400,0.7376237623762376,0.5227799132663119,0.4078125,0.6820143884892086,0.764018691588785,0.3856148865182202
2450,0.7246376811594203,0.5208587460356184,0.403125,0.6969424460431655,0.7848130841121496,0.3774338739388539
2500,0.7298578199052133,0.5212235531580023,0.3990625,0.6882733812949641,0.7747663551401869,0.38041908619114856
2550,0.7268518518518519,0.5198077104790703,0.393125,0.693021582733813,0.7827102803738317,0.37782319696858346
2600,0.7168949771689498,0.5198077104790703,0.366875,0.6616187050359712,0.749766355140187,0.37264753673613715
2650,0.7098214285714286,0.5195523540005146,0.348125,0.6396762589928058,0.7268691588785047,0.36878939413429385
2700,0.7092511013215859,0.5150123311536983,0.35875,0.6750359712230216,0.7696261682242991,0.36527306306495777
