acceptance ratio,link utilization,node utilization,profitability,revenue cost ratio,time periods
0.5253165,0.40186918,0.23281407,0.25108897358124,0.47797656,3950
0.52024925,0.42523366,0.23593909,0.24811887467769,0.47692308,4000
0.52307695,0.44252336,0.25625157,0.24892586573543699,0.47588766,4050
0.5258359,0.44252336,0.26250154,0.250632724926043,0.47663677,4100
0.5285285,0.47126168,0.27156407,0.25160394173441997,0.47604612,4150
0.5295858,0.49228972,0.29281408,0.25268521816821,0.47713745,4200
0.5263158,0.50677574,0.29968905,0.2507600050152,0.476444,4250
0.5202312,0.50677574,0.29968905,0.247861070268984,0.47644407,4300
0.51862466,0.4817757,0.2803141,0.247332567116194,0.4769009,4350
0.5198864,0.4109813,0.26000154,0.2484170585688,0.4778295,4400
0.52394366,0.5046729,0.28437656,0.24923419900568383,0.47568893,4450
0.5222222,0.52359813,0.29468906,0.24844089276137998,0.4757379,4500
0.523416,0.49228972,0.28218907,0.2492695683468,0.47623605,4550
0.52459013,0.47289717,0.27406406,0.250372390361412,0.4772724,4600
0.5283019,0.4504673,0.27687657,0.252636842542336,0.47820544,4650
0.528,0.45490652,0.29125154,0.25294070208,0.47905436,4700
0.5263158,0.47523367,0.30593908,0.252366305047326,0.47949597,4750
0.5246753,0.48457944,0.30156404,0.251285008026296,0.47893432,4800
0.5244216,0.47079438,0.30562657,0.251388982700448,0.47936428,4850
0.52538073,0.48668224,0.32625157,0.25209049354381197,0.4798244,4900
0.5251256,0.49579442,0.32843906,0.25195668071912,0.4798027,4950
0.52487564,0.49509346,0.32375157,0.2516959041069904,0.47953436,5000
0.52098763,0.4801402,0.32000154,0.24983149055947204,0.4795344,5050
0.5207824,0.425,0.28343904,0.249794824883728,0.47965297,5100
0.5241546,0.4661215,0.29187655,0.250950006271962,0.47877097,5150
0.52392346,0.47196263,0.29781407,0.2511593398816204,0.47938174,5200
0.5177305,0.45957947,0.28312653,0.248190563472985,0.47938177,5250
0.5140845,0.45724297,0.2778141,0.24644276838463502,0.47938183,5300
0.51282054,0.4619159,0.27281404,0.2455330489106868,0.47878942,5350
0.51501155,0.42570096,0.25125158,0.246470632818381,0.47857302,5400
0.51487416,0.41121495,0.25625157,0.24691679015600157,0.47956726,5450
0.5147392,0.4509346,0.2593766,0.24594946742399998,0.47781375,5500
0.5156951,0.4313084,0.26375157,0.246994148414184,0.47895384,5550
0.51555556,0.41962618,0.26156408,0.2472203672867656,0.47952226,5600
0.51655626,0.42266357,0.27687657,0.247906248511086,0.4799211,5650
0.51746726,0.41658878,0.26812655,0.248833575748495,0.48086825,5700
0.5194805,0.43785048,0.28062654,0.25004056205205,0.4813281,5750
0.5203426,0.47546726,0.29187655,0.24940067648833997,0.4793009,5800
0.5190678,0.47850466,0.2959391,0.24873709251423598,0.47919962,5850
0.5168067,0.47079438,0.29125154,0.24757084900498497,0.47903955,5900
0.5177453,0.47266352,0.28156406,0.24790033272974998,0.4788075,5950
0.5165289,0.46285045,0.2671891,0.24767919226056598,0.47950694,6000
0.5154004,0.47009343,0.27750158,0.247318165040548,0.47985637,6050
0.5122449,0.4079439,0.23968905,0.245804008999707,0.47985643,6100
0.51214576,0.41869158,0.24437654,0.24603285134282402,0.48039615,6150
0.51307845,0.38037384,0.23062658,0.24656120367460796,0.48055264,6200
0.5139442,0.43668222,0.24781406,0.246353072310114,0.47933817,6250
0.51287127,0.45700938,0.26000154,0.2457013829228556,0.47907028,6300
0.5137795,0.47102803,0.2568766,0.24615651604816996,0.47910926,6350
0.5146771,0.4600467,0.26031405,0.24680887414652,0.4795412,6400
0.5135659,0.43948597,0.25125158,0.24605593470561202,0.47911268,6450
0.5163148,0.48574764,0.2700016,0.24738209599732797,0.47913036,6500
0.5190114,0.50023365,0.28000158,0.24825008661230402,0.47831336,6550
0.51789075,0.5245327,0.28843904,0.24725950685523748,0.47743565,6600
0.5168539,0.53621495,0.28468907,0.246710208042035,0.47733065,6650
0.51486987,0.50443923,0.25750154,0.24567016876789738,0.47715002,6700
0.5120148,0.43504673,0.22593904,0.24430788742074,0.47715005,6750
0.51282054,0.4504673,0.22312659,0.24424616679119998,0.47628,6800
0.51272726,0.41845793,0.21187657,0.2445397907298632,0.47693932,6850
0.50994575,0.41845793,0.21187657,0.243213209838635,0.47693938,6900
0.51166964,0.41892523,0.21593904,0.24387222430153083,0.47662047,6950
0.51067615,0.38411218,0.21250159,0.24312025024647999,0.4760752,7000
0.5097345,0.39766353,0.22812659,0.242750570386335,0.47622943,7050
0.5105634,0.40046728,0.21687657,0.24233389386614398,0.47464016,7100
0.51313484,0.43948597,0.22687656,0.24362041222499198,0.4747688,7150
0.5121951,0.45023364,0.23156404,0.243384073715595,0.47517845,7200
0.51122624,0.43761683,0.23406404,0.24330911089712642,0.47593236,7250
0.5119863,0.45397198,0.25843906,0.24371576972463,0.4760201,7300
0.51107323,0.45911217,0.26750153,0.24336619308032423,0.47618654,7350
0.5076142,0.43341124,0.25562656,0.24171906478129399,0.47618657,7400
0.5084175,0.38434577,0.22218907,0.2419416118866,0.47587192,7450
0.51252085,0.41378504,0.25468904,0.24392512443428502,0.4759321,7500
0.5115894,0.37873834,0.23437655,0.243757011649788,0.47647002,7550
0.5123153,0.4109813,0.25406408,0.24417982074906,0.4766202,7600
0.5122349,0.36799067,0.24187654,0.24431064044896003,0.4769504,7650
0.50970876,0.3724299,0.23593909,0.24322290255311402,0.47718015,7700
0.511254,0.39205605,0.24593908,0.24400624770539997,0.4772701,7750
0.51277953,0.40560746,0.26531404,0.2447824567921482,0.47736394,7800
0.5126984,0.40607476,0.27468908,0.244931288711368,0.47772977,7850
0.5126183,0.42640185,0.29156405,0.24506471380401,0.4780647,7900
0.514867,0.4614486,0.31375158,0.24655532823996,0.47887188,7950
0.5140187,0.482243,0.32093906,0.24588644794883002,0.4783609,8000
0.5131783,0.4453271,0.31187654,0.245593858457379,0.47857413,8050
0.51384616,0.5126168,0.33968908,0.24565834921893923,0.47807762,8100
0.5130168,0.5266355,0.34750158,0.24520828154976002,0.4779732,8150
