time periods,acceptance ratio,revenue cost ratio,node utilization,total utilization,link utilization,profitability
0,1.0,0.831874712114233,0.061875,0.07809352517985611,0.08294392523364486,0.831874712114233
50,1.0,0.8189746300211417,0.113125,0.13611510791366907,0.14299065420560747,0.8189746300211417
100,1.0,0.797906892818477,0.1565625,0.19935251798561152,0.21214953271028036,0.797906892818477
150,1.0,0.7736598279285242,0.20625,0.2717625899280576,0.2913551401869159,0.7736598279285242
200,1.0,0.741362763915547,0.271875,0.3748201438848921,0.405607476635514,0.741362763915547
250,1.0,0.7370511598347632,0.311875,0.42701438848920864,0.4614485981308411,0.7370511598347632
300,1.0,0.7120776911503214,0.3515625,0.500179856115108,0.5446261682242991,0.7120776911503214
350,1.0,0.7000299670362601,0.389375,0.5646402877697841,0.6170560747663552,0.7000299670362601
400,1.0,0.6833248342682305,0.410625,0.5902158273381295,0.6439252336448598,0.6833248342682305
450,1.0,0.6487621973256235,0.4459375,0.6810791366906475,0.7514018691588785,0.6487621973256235
500,0.9555555555555556,0.6520399964288903,0.451875,0.6829856115107914,0.7521028037383177,0.6230604410320508
550,0.92,0.6276123618171549,0.4571875,0.7379856115107913,0.8219626168224299,0.5774033728717824
600,0.8888888888888888,0.6284805091487669,0.466875,0.747589928057554,0.8315420560747664,0.5586493414655705
650,0.8620689655172413,0.622925525909758,0.399375,0.6698201438848921,0.7507009345794392,0.5370047637153086
700,0.8688524590163934,0.6139942299002399,0.38125,0.6602517985611511,0.7436915887850467,0.5334703964707002
750,0.8484848484848485,0.6166996279288037,0.3921875,0.6575539568345323,0.7369158878504672,0.5232602903638335
800,0.8571428571428571,0.6190129475450314,0.3753125,0.5946762589928057,0.6602803738317757,0.5305825264671697
850,0.8648648648648649,0.587664396592131,0.40625,0.7026978417266188,0.7913551401869159,0.5082502889445457
900,0.8571428571428571,0.5838354623604082,0.396875,0.6733812949640288,0.7560747663551401,0.5004303963089213
950,0.8414634146341463,0.5855590348130411,0.414375,0.6849640287769784,0.7658878504672897,0.4927265049036565
1000,0.8160919540229885,0.5852588098618821,0.4275,0.6967985611510792,0.7773364485981309,0.477625005749352
1050,0.8241758241758241,0.5893750315768201,0.4203125,0.6420863309352518,0.708411214953271,0.4857486523984781
1100,0.8210526315789474,0.583766417839932,0.3946875,0.6423021582733813,0.7163551401869159,0.47930295359489156
1150,0.82,0.5767614226962534,0.3865625,0.6729856115107914,0.7586448598130842,0.47294436661092776
1200,0.8095238095238095,0.5703821450819496,0.371875,0.6726618705035972,0.7626168224299066,0.46173792697110205
1250,0.8165137614678899,0.5685676697224716,0.3953125,0.6735611510791367,0.7567757009345795,0.4642433266541282
1300,0.8230088495575221,0.5731644948141481,0.3721875,0.6061870503597122,0.6761682242990654,0.47171945148421035
1350,0.8290598290598291,0.5693936477382098,0.3846875,0.6245323741007194,0.6962616822429907,0.47206140026159277
1400,0.8347107438016529,0.5665745856353591,0.3859375,0.658273381294964,0.7397196261682243,0.4729258937948039
1450,0.8412698412698413,0.5645939707630971,0.395625,0.6533093525179856,0.7303738317757009,0.47497588016578013
1500,0.8307692307692308,0.5662544016374959,0.4021875,0.6510431654676259,0.7254672897196262,0.4704267336680735
1550,0.8134328358208955,0.5668019690819587,0.3834375,0.6375539568345324,0.7135514018691589,0.4610553330592052
1600,0.8175182481751825,0.5656747567913286,0.3940625,0.6324460431654676,0.7037383177570093,0.4624494362089694
1650,0.8028169014084507,0.5590679485090435,0.3834375,0.6729856115107914,0.7595794392523364,0.4488291980988096
1700,0.7931034482758621,0.5579615365983627,0.37875,0.6693884892086331,0.7563084112149533,0.44252121868146005
1750,0.7933333333333333,0.5584609756485502,0.3784375,0.6822661870503597,0.7731308411214953,0.44304570734784987
1800,0.7806451612903226,0.5596805695564516,0.3828125,0.6863309352517986,0.7771028037383177,0.4369119284924558
1850,0.7861635220125787,0.5525417612653927,0.3596875,0.6786690647482014,0.7740654205607477,0.43438817709543454
1900,0.7865853658536586,0.5481555739586511,0.3796875,0.7147482014388489,0.8149532710280374,0.4311711526869878
1950,0.7751479289940828,0.5481300696288852,0.3675,0.7081654676258993,0.8100467289719626,0.4248818882922128
2000,0.7790697674418605,0.5473372781065089,0.3684375,0.7116187050359712,0.8142523364485982,0.4264139259666988
2050,0.7796610169491526,0.5476062324900979,0.399375,0.7212589928057555,0.8175233644859813,0.4269472321109238
2100,0.7833333333333333,0.5419511414550885,0.3975,0.7197482014388489,0.8161214953271028,0.4245283941398193
2150,0.772972972972973,0.543265084062048,0.38875,0.7087410071942446,0.8044392523364486,0.4199292271398533
2200,0.7712765957446809,0.540829536039768,0.356875,0.6434892086330936,0.7292056074766355,0.4171291634349275
2250,0.774869109947644,0.5373605107067457,0.3796875,0.6715827338129496,0.7588785046728972,0.4163840606523475
2300,0.7653061224489796,0.5364455668622645,0.393125,0.6996762589928057,0.7913551401869159,0.4105450766803045
2350,0.7688442211055276,0.5395424314323297,0.3653125,0.5653956834532374,0.625233644859813,0.4148240804479721
2400,0.7722772277227723,0.535083020889127,0.3753125,0.6331654676258993,0.7102803738317757,0.41323243197378123
2450,0.7584541062801933,0.5331933167503637,0.3778125,0.6655755395683454,0.7516355140186916,0.40440266053046914
2500,0.7630331753554502,0.5336433893285205,0.3865625,0.6735251798561152,0.7593457943925234,0.4071876098667858
2550,0.7638888888888888,0.5310861845442759,0.39125,0.6934892086330935,0.7838785046728972,0.4056908354157663
2600,0.7579908675799086,0.5298148499492205,0.381875,0.6924100719424461,0.7852803738317757,0.4015948177697287
2650,0.7455357142857143,0.5301104048176648,0.3525,0.6448201438848921,0.7322429906542056,0.3952162393060269
2700,0.7444933920704846,0.5289456186437906,0.36875,0.6303956834532374,0.7086448598130841,0.39379651784493663
2750,0.7489177489177489,0.5310452816923913,0.3840625,0.6639568345323741,0.7476635514018691,0.3977092369384575
2800,0.7457627118644068,0.5273394571505589,0.3909375,0.715,0.8119158878504673,0.3932701036377049
2850,0.7447698744769874,0.525287110350239,0.375625,0.694568345323741,0.7899532710280374,0.39121801523992694
2900,0.7396694214876033,0.5257945787664965,0.355625,0.6732374100719425,0.7682242990654206,0.3889141718975325
2950,0.7428571428571429,0.5263510674483283,0.3646875,0.6605755395683454,0.7490654205607477,0.39100365010447247
3000,0.7459677419354839,0.5278972092838091,0.345,0.603705035971223,0.6810747663551402,0.39379428918348663
3050,0.749003984063745,0.5284638817206387,0.3571875,0.6171223021582734,0.6948598130841122,0.3958215528425501
3100,0.7529411764705882,0.5280183344917626,0.363125,0.6197482014388489,0.6964953271028037,0.3975667459702683
3150,0.7558139534883721,0.5288155119712356,0.3659375,0.6301079136690647,0.7091121495327103,0.3996861427689571
3200,0.7509578544061303,0.5288886009643415,0.36375,0.6315827338129496,0.7116822429906542,0.3971730490000419
3250,0.75,0.5283319959147943,0.3728125,0.6458992805755396,0.7275700934579439,0.3962489969360957
3300,0.7490636704119851,0.5278796937989763,0.38125,0.6525179856115108,0.7336448598130841,0.395415500973016
3350,0.7518518518518519,0.5273538431277883,0.374375,0.6162230215827338,0.6885514018691589,0.39649196353681865
3400,0.7554744525547445,0.5246151169870401,0.398125,0.7024460431654677,0.7934579439252336,0.3963333183077274
3450,0.7491039426523297,0.5251834715326696,0.3728125,0.6347482014388489,0.7130841121495327,0.3934170091409604
3500,0.74822695035461,0.5236061765509702,0.375,0.6690647482014388,0.7570093457943925,0.39177625266756994
3550,0.7473684210526316,0.523594309657363,0.395,0.7022661870503597,0.7941588785046729,0.391317852480766
3600,0.7430555555555556,0.5240103938177032,0.3571875,0.6710791366906474,0.7649532710280373,0.38936883429509894
3650,0.7363013698630136,0.5244957986734428,0.3559375,0.6524460431654676,0.7411214953271028,0.3861869750506513
3700,0.7398648648648649,0.5248885556315456,0.3296875,0.5919064748201439,0.6703271028037383,0.3883466002814476
3750,0.7408637873754153,0.5194074689592355,0.3515625,0.7100719424460432,0.8172897196261683,0.3848101846442177
3800,0.7352941176470589,0.5187352330209473,0.335,0.694568345323741,0.8021028037383178,0.3814229654565789
3850,0.7354838709677419,0.517278760889402,0.320625,0.6855035971223021,0.7946261682242991,0.3804501854283343
3900,0.7380191693290735,0.5184122764056998,0.3025,0.5878057553956835,0.6731308411214953,0.38259819760292857
3950,0.740506329113924,0.5175465271864736,0.32,0.6355395683453238,0.7299065420560747,0.3832464789925153
4000,0.735202492211838,0.5148820883570204,0.3259375,0.6487769784172662,0.7453271028037384,0.3785425945553172
4050,0.7323076923076923,0.5143219415258448,0.3284375,0.6633812949640288,0.7635514018691589,0.37664191410200326
4100,0.7325227963525835,0.5153578833199295,0.3278125,0.6535251798561151,0.7509345794392523,0.3775113978118632
4150,0.7327327327327328,0.5142576204523107,0.3640625,0.7169064748201439,0.822429906542056,0.3768133915626541
4200,0.7337278106508875,0.5150575410594495,0.3809375,0.7004676258992806,0.7960280373831776,0.3779120419607795
4250,0.7280701754385965,0.5138938881290044,0.3878125,0.7211151079136691,0.8207943925233645,0.37415081328690675
4300,0.7283236994219653,0.513139254851962,0.361875,0.6682014388489209,0.7598130841121495,0.3737314804124116
4350,0.7306590257879656,0.5100095526851351,0.34375,0.6424460431654676,0.7317757009345794,0.37264308290747694
4400,0.7301136363636364,0.5102387435707016,0.3515625,0.6577338129496403,0.7492990654205608,0.372532264482018
4450,0.7267605633802817,0.5097301291876505,0.3528125,0.6778057553956834,0.775,0.37045175586032064
4500,0.7277777777777777,0.5102574823646835,0.37875,0.6650719424460432,0.7507009345794392,0.371354056609853
4550,0.7300275482093664,0.511312825684989,0.3553125,0.5771223021582734,0.6434579439252337,0.3732724485028157
4600,0.73224043715847,0.5111590117725087,0.35875,0.5957194244604317,0.666588785046729,0.3742912982377932
4650,0.7358490566037735,0.5128152768903439,0.3871875,0.5921942446043166,0.6535046728971963,0.3773546377117625
4700,0.736,0.5132122483771556,0.408125,0.6173381294964029,0.6799065420560748,0.37772421480558654
4750,0.7368421052631579,0.513466466492377,0.4271875,0.6639928057553957,0.7348130841121495,0.3783437121522778
4800,0.7402597402597403,0.5139496821832299,0.4509375,0.6786330935251799,0.7467289719626168,0.38045625823953383
4850,0.7403598971722365,0.5130809846996114,0.4759375,0.7252158273381295,0.7997663551401869,0.3798645850732341
4900,0.7385786802030457,0.5135217885752134,0.4840625,0.7301438848920864,0.8037383177570093,0.37927624486138856
4950,0.7386934673366834,0.5137102359867413,0.475,0.6715827338129496,0.7303738317757009,0.37947439542739175
5000,0.7388059701492538,0.5135790227510604,0.473125,0.687158273381295,0.7511682242990654,0.3794352481519028
5050,0.7407407407407407,0.5135440112479559,0.44875,0.6788489208633094,0.7476635514018691,0.3804029712947821
5100,0.7383863080684596,0.5136815472978644,0.4371875,0.6796043165467626,0.7521028037383177,0.3792954212321639
5150,0.7367149758454107,0.5120281229251636,0.455625,0.7378057553956835,0.822196261682243,0.3772187862129829
5200,0.7344497607655502,0.5124410771423671,0.4571875,0.7421223021582734,0.8273364485981308,0.37636222651365236
5250,0.7257683215130024,0.5124410771423671,0.438125,0.7051798561151079,0.7850467289719626,0.3719135004319307
5300,0.7253521126760564,0.5108787513186807,0.4184375,0.7017266187050359,0.7864485981308411,0.37056698159031065
5350,0.7249417249417249,0.5120580361799029,0.385625,0.6330215827338129,0.7070093457943926,0.371212236018531
5400,0.7274826789838337,0.5135257686987367,0.4084375,0.6109352517985611,0.6714953271028037,0.37358110194018945
5450,0.7276887871853547,0.5136836001455339,0.4109375,0.6413669064748202,0.7102803738317757,0.37380179598691027
