time periods,acceptance ratio,revenue cost ratio,node utilization,total utilization,link utilization,profitability
0,1.0,0.6119959335818367,0.061875,0.10615107913669065,0.11939252336448598,0.6119959335818367
50,1.0,0.6404215747055176,0.113125,0.17406474820143886,0.19228971962616823,0.6404215747055176
100,1.0,0.612719966745185,0.1565625,0.2596043165467626,0.29042056074766354,0.612719966745185
150,1.0,0.6120418848167539,0.20625,0.3435251798561151,0.38457943925233645,0.6120418848167539
200,1.0,0.5856709628506445,0.271875,0.4744604316546763,0.5350467289719626,0.5856709628506445
250,1.0,0.5719040867903593,0.311875,0.5538129496402878,0.6261682242990654,0.5719040867903593
300,0.9642857142857143,0.5676114298962499,0.336875,0.590863309352518,0.6668224299065421,0.547339593114241
350,0.9375,0.5468653010552452,0.36,0.6530215827338129,0.7406542056074766,0.5126862197392924
400,0.918918918918919,0.530181587646606,0.3665625,0.6545323741007194,0.7406542056074766,0.4871938913509352
450,0.9024390243902439,0.5311672258520219,0.3859375,0.675,0.7614485981308411,0.479346033085971
500,0.8666666666666667,0.5332927941623594,0.391875,0.6815827338129496,0.7682242990654206,0.46218708827404487
550,0.82,0.5221303501945526,0.38625,0.6989928057553957,0.7925233644859813,0.4281468871595331
600,0.7962962962962963,0.5170131955049141,0.39875,0.7263309352517986,0.8242990654205608,0.411695692716876
650,0.7931034482758621,0.5038422400785992,0.3634375,0.6919424460431655,0.7901869158878505,0.39959901799337183
700,0.7868852459016393,0.5016077170418006,0.3315625,0.6439568345323741,0.7373831775700934,0.3947077117705972
750,0.7727272727272727,0.5031873394437221,0.3425,0.6383812949640287,0.7268691588785047,0.3888265804792398
800,0.7714285714285715,0.49607643464717865,0.3253125,0.6365827338129496,0.7296728971962617,0.38268753529925215
850,0.7567567567567568,0.4983179757203452,0.3284375,0.6351438848920863,0.7268691588785047,0.3771054951397207
900,0.7662337662337663,0.498553787963066,0.3459375,0.6420503597122302,0.7306074766355141,0.38200874662105055
950,0.7560975609756098,0.5021585879009782,0.3634375,0.6388848920863309,0.7212616822429907,0.379680883534886
1000,0.7471264367816092,0.4991357636706474,0.3865625,0.6796402877697841,0.7672897196261682,0.37291752458151817
1050,0.7472527472527473,0.501874595992243,0.3978125,0.6768345323741007,0.7602803738317757,0.3750271706315662
1100,0.7368421052631579,0.5020408163265306,0.363125,0.6220863309352518,0.6995327102803738,0.3699248120300752
1150,0.74,0.5042645196741286,0.3375,0.5861510791366906,0.6605140186915888,0.37315574455885514
1200,0.7523809523809524,0.5015332419912573,0.3509375,0.6011151079136691,0.6759345794392523,0.37734405826008877
1250,0.7614678899082569,0.4996842105263158,0.3890625,0.6557553956834532,0.7355140186915888,0.3804934814099469
1300,0.7699115044247787,0.503345236629315,0.3659375,0.5835251798561151,0.6485981308411215,0.3875312883783221
1350,0.7692307692307693,0.5048323471400394,0.3778125,0.6189928057553957,0.6911214953271028,0.3883325747231073
1400,0.7768595041322314,0.5032415672272855,0.3671875,0.633453237410072,0.7130841121495327,0.390947994374916
1450,0.7857142857142857,0.5034060793625385,0.38625,0.6612230215827338,0.7434579439252337,0.3955333480705659
1500,0.7769230769230769,0.5024897429603394,0.3928125,0.6751438848920863,0.7595794392523364,0.3903958772230329
1550,0.7611940298507462,0.5013041210224308,0.3740625,0.6708273381294964,0.7595794392523364,0.38158970406185033
