acceptance ratio,link utilization,node utilization,profitability,revenue cost ratio,time periods,total utilization
1.0,0.08808411214953271,0.061875,0.7917580008768084,0.7917580008768084,0,0.08205035971223022
1.0,0.15070093457943926,0.113125,0.784755634337807,0.784755634337807,50,0.1420503597122302
1.0,0.22383177570093457,0.1565625,0.7634668508287292,0.7634668508287292,100,0.2083453237410072
1.0,0.3107476635514019,0.20625,0.733375156838143,0.733375156838143,150,0.2866906474820144
0.95,0.36378504672897194,0.25,0.6903569525839104,0.7266915290356952,200,0.33758992805755395
0.9166666666666666,0.38481308411214954,0.26875,0.664254940526365,0.7246417533014892,250,0.3580935251798561
0.8928571428571429,0.4051401869158878,0.29375,0.6536424008922236,0.7320794889992903,300,0.37949640287769787
0.90625,0.4647196261682243,0.3315625,0.6600994644223412,0.7283856159143076,350,0.43406474820143887
0.8918918918918919,0.516822429906542,0.36,0.6354640278149238,0.7124899705803691,400,0.48071942446043164
0.8780487804878049,0.5282710280373831,0.379375,0.6291011817132853,0.7164763458401305,450,0.49399280575539567
0.8444444444444444,0.5320093457943925,0.3853125,0.6076362626327373,0.719569258380873,500,0.49823741007194244
0.8,0.5273364485981309,0.371875,0.5733905579399142,0.7167381974248928,550,0.4915467625899281
0.7962962962962963,0.5460280373831776,0.3934375,0.5720073483581012,0.7183348095659876,600,0.5108992805755396
0.7586206896551724,0.45771028037383177,0.339375,0.5457232995786175,0.7193625312627232,650,0.43046762589928056
0.7540983606557377,0.3771028037383178,0.299375,0.5435622166343692,0.720810765536881,700,0.3592086330935252
0.7575757575757576,0.4091121495327103,0.3328125,0.5407386725985055,0.7137750478300272,750,0.39154676258992804
0.7571428571428571,0.3878504672897196,0.315625,0.542238088359712,0.7161635129279215,800,0.3712230215827338
0.7432432432432432,0.36261682242990656,0.3078125,0.5332060591281759,0.7174045159179094,850,0.35
0.7532467532467533,0.38247663551401867,0.319375,0.5428043463726049,0.7206195632877685,900,0.3679496402877698
0.7439024390243902,0.385981308411215,0.336875,0.537352311499223,0.7223424515235457,950,0.37467625899280577
0.7586206896551724,0.4497663551401869,0.38875,0.5494265745066996,0.7242441209406495,1000,0.43571942446043166
0.7582417582417582,0.4413551401869159,0.4,0.552046651829732,0.7280615263261684,1050,0.43183453237410074
0.7684210526315789,0.43878504672897195,0.3921875,0.5575513859991229,0.7255805708207764,1100,0.42805755395683454
0.78,0.4649532710280374,0.400625,0.5692068491773615,0.729752370740207,1150,0.45014388489208634
0.7619047619047619,0.4628504672897196,0.393125,0.5534374744619863,0.7263866852313571,1200,0.44679856115107913
0.7706422018348624,0.46214953271028036,0.41875,0.5636626157824185,0.731419346670043,1250,0.45215827338129494
0.7787610619469026,0.3899532710280374,0.373125,0.5721480527055792,0.7346901131333006,1300,0.3860791366906475
0.7777777777777778,0.4373831775700935,0.385,0.5671040762156935,0.7291338122773202,1350,0.4253237410071942
0.7768595041322314,0.43434579439252335,0.36125,0.5678122259828611,0.7309072270630446,1400,0.41751798561151077
0.7777777777777778,0.4350467289719626,0.37,0.5687976775918753,0.7313112997609824,1450,0.4200719424460432
0.7692307692307693,0.40373831775700936,0.36,0.5644722524483134,0.7338139281828074,1500,0.39366906474820146
0.7611940298507462,0.41098130841121494,0.3590625,0.5595404702645537,0.735082578582845,1550,0.39902877697841727
0.7664233576642335,0.39322429906542056,0.3696875,0.5660395093714697,0.7385467884180129,1600,0.38780575539568346
0.7535211267605634,0.39509345794392525,0.358125,0.5571794897601205,0.7394344630461412,1650,0.38658273381294966
0.7517241379310344,0.4091121495327103,0.361875,0.5536356821589205,0.736487834064619,1700,0.39823741007194247
0.76,0.43411214953271027,0.374375,0.56039771073819,0.7373654088660394,1750,0.42035971223021584
0.7548387096774194,0.45537383177570095,0.390625,0.5568815275294605,0.7377490321971485,1800,0.44046762589928057
0.7610062893081762,0.4544392523364486,0.384375,0.5608869416374187,0.7370332538871864,1850,0.4383093525179856
0.7621951219512195,0.42383177570093455,0.3696875,0.5625128349137682,0.7380168394068639,1900,0.41136690647482016
0.7455621301775148,0.41401869158878507,0.3546875,0.5507239533576921,0.7386694295035711,1950,0.4003597122302158
0.7441860465116279,0.4158878504672897,0.3559375,0.550458790242037,0.7396789993877373,2000,0.4020863309352518
0.7457627118644068,0.4219626168224299,0.386875,0.5530622615046303,0.7416062142902998,2050,0.41388489208633095
0.7444444444444445,0.3925233644859813,0.37125,0.5532828923267675,0.7432158255135684,2100,0.38762589928057556
0.7405405405405405,0.39976635514018694,0.3759375,0.5519351590284223,0.7453139008777966,2150,0.39428057553956836
0.7393617021276596,0.4030373831775701,0.355625,0.5499244154528216,0.7437826626268378,2200,0.3921223021582734
0.743455497382199,0.4371495327102804,0.3825,0.5506100459760503,0.7406092871931381,2250,0.424568345323741
0.7346938775510204,0.45186915887850465,0.3959375,0.5443890042900686,0.7409739225059268,2300,0.4389928057553957
0.7386934673366834,0.4740654205607477,0.4171875,0.5478144070169699,0.7415990952134491,2350,0.4609712230215827
0.7326732673267327,0.44906542056074766,0.3984375,0.5433788731608191,0.7416387322870639,2400,0.437410071942446
0.7294685990338164,0.47126168224299064,0.4046875,0.5403020062960543,0.7406789092932665,2450,0.45593525179856115
0.7298578199052133,0.4413551401869159,0.385625,0.541414562065988,0.7418082636098927,2500,0.4285251798561151
0.7314814814814815,0.44929906542056075,0.3903125,0.5417661177234423,0.7406422875206552,2550,0.43571942446043166
0.730593607305936,0.4235981308411215,0.37875,0.5415079020319856,0.7411889409062804,2600,0.41327338129496405
